29.52,46.79,4.58
29.52,46.85,6.87
29.51,46.91,4.58
29.52,46.88,4.58
29.52,46.79,4.58
29.52,46.79,4.58
29.51,46.85,6.87
29.52,46.85,4.58
29.52,46.91,4.58
29.52,46.88,4.58
29.52,46.91,4.58
29.52,46.91,4.58
29.51,46.95,4.58
29.52,46.95,4.58
29.52,46.91,6.87
29.5,46.91,6.87
29.51,46.95,4.58
29.52,46.91,4.58
29.52,46.98,4.58
29.51,46.98,4.58
29.51,46.98,6.87
29.54,46.98,6.87
29.52,46.95,6.87
29.52,46.98,4.58
29.53,46.98,4.58
29.52,46.95,4.58
29.52,47.01,4.58
29.51,46.98,4.58
29.52,46.98,6.87
29.52,47.01,4.58
29.5,46.98,6.87
29.51,46.98,6.87
29.5,47.01,4.58
29.52,46.98,4.58
29.51,47.04,4.58
29.5,47.08,4.58
29.5,47.11,4.58
29.49,47.17,4.58
29.48,47.14,6.87
29.48,47.17,6.87
29.49,47.17,4.58
29.5,47.14,6.87
29.51,47.14,6.87
29.52,47.14,4.58
29.52,47.11,4.58
29.52,47.08,4.58
29.53,47.04,4.58
29.5,47.04,4.58
29.52,47.08,565.34
29.59,47.08,659.18
29.66,46.98,746.15
29.72,46.85,812.53
29.76,46.72,803.38
29.82,46.66,718.69
29.86,46.46,597.38
29.96,46.27,812.53
29.99,46.17,654.6
30.03,46.08,627.14
30.06,46.01,4.58
30.01,45.92,6.87
29.98,46.01,4.58
29.98,46.08,4.58
29.96,46.14,6.87
29.93,46.24,4.58
29.91,46.27,4.58
29.9,46.27,4.58
29.9,46.24,6.87
29.88,46.17,4.58
29.88,46.21,4.58
29.88,46.21,4.58
29.87,46.21,4.58
29.85,46.21,4.58
29.85,46.21,4.58
29.83,46.33,4.58
29.81,46.3,4.58
29.8,46.3,4.58
29.79,46.33,4.58
29.8,46.33,4.58
29.79,46.46,4.58
29.78,46.5,4.58
29.78,46.5,4.58
29.77,46.5,4.58
29.77,46.53,6.87
29.74,46.46,4.58
29.75,46.43,4.58
29.75,46.5,6.87
29.74,46.59,4.58
29.74,46.59,4.58
29.73,46.66,4.58
29.74,46.59,4.58
29.72,46.59,4.58
29.72,46.59,4.58
29.72,46.59,4.58
29.71,46.62,4.58
29.71,46.66,4.58
29.72,46.69,4.58
29.7,46.66,4.58
29.69,46.66,4.58
29.7,46.69,4.58
29.7,46.75,4.58
29.7,46.79,4.58
29.69,46.79,4.58
29.7,46.79,2.29
29.7,46.79,4.58
29.68,46.85,4.58
29.68,46.88,2.29
29.68,46.91,4.58
29.68,46.91,4.58
29.66,46.95,4.58
29.66,46.95,4.58
29.64,46.98,4.58
29.65,46.98,4.58
29.65,46.98,4.58
29.65,46.98,4.58
29.65,46.98,4.58
29.64,47.01,4.58
29.64,47.04,4.58
29.64,47.04,4.58
